Id,Skill,Proficiency,EmployeeId
1a8da4b9-c217-4de5-8b7f-b41071dfa994,5,18,A454CCA6-BF13-49F1-A573-09C81551171A
5d7701ea-cc5c-4dc2-9aa1-50ea9b42c861,5,6,C533E409-6CDE-4B91-BEAE-1CEF7E2492FB
fa15a9fd-c4eb-47cc-b86c-60e37c1b3b80,5,13,EF153A2E-F5D2-43F5-929E-20BE56B3A2B5
913ff2f3-69d1-47d7-a1b7-1c3c644374a2,5,95,39A4817E-0CC1-44E7-9F49-23B2762D5E72
73ca89cc-3780-4049-993e-bfb6b70adaed,5,27,BF57781F-FF9D-42A1-9656-282B4C71BF2E
43871120-7b11-4e6b-ad14-f9a9c450bf5d,5,80,ACA3915E-3873-4255-B43E-4EDD5041C65A
41a44cbd-4c75-4ada-b68e-41d92a7bff54,5,3,DC766775-295D-4582-BC3F-500C422EC69C
3944b62c-2b6e-450e-96c1-d9587c9cbab7,5,69,622AC0E6-01E7-4D29-971F-609D09A03BA1
17d48e52-ed45-4528-87a8-e78f2d4364ec,5,21,827B7AB0-8150-478A-A5D3-666C94F662EA
d7330424-e88c-42c2-8fd7-ccc6ab30aef1,5,47,14CDCBC4-538D-4242-824C-6CF57D46BC7A
d0a6b4b4-2466-4ece-a82d-99fffbf7912d,5,83,E4D8EE43-CABB-48EF-BB4B-7AE96EE8D407
78a871a0-2e6c-440d-99cd-d050d5ca86bd,5,30,2EA08383-E572-4E8E-9C49-8281EE50E589
368ce02b-b4ea-43a0-81ed-70b6b1d79ff4,5,91,A76B0865-6CCC-4F2F-B2AF-844760E18059
61cb8a0e-6ace-4e96-b5eb-72633b48769f,5,48,85E3E083-3B6E-405A-B1CB-894871A57B48
820d8702-7a9e-40bf-aa64-f98a409c11b7,5,98,3AAAE130-42F6-489E-92FD-CC6477E57AB2
bbe33d83-3d69-485c-874c-09d5d9910e5e,5,69,56E1A7C0-DA85-414D-8702-D2F03DA24208
81c78eba-82bc-463f-84a5-875fcfafac72,5,0,A34155A6-74B6-4B72-BE4E-D39DCAF61CC6
56dd8c87-d0d8-4261-80b2-9c885adfe1e2,5,85,DB6DD6F4-9ABB-4D2B-ADA1-E70D53E24867
d9f9b352-1c70-4832-b670-84c8641262ac,5,96,0AB30189-EB80-46A9-9C5D-EA4857ED2578
9cc41747-5963-40cf-bcfb-1f57eab29b53,5,19,AF103603-AE42-425C-9161-F285AF53E597
0a0a1626-41d0-4f95-8c48-af3b7bd8d02d,5,30,FF483D03-F422-4B88-BDCC-FF02F99932F2
fe627ded-645a-4bcc-a808-8b0045fbd30f,1,36,A454CCA6-BF13-49F1-A573-09C81551171A
378275f3-4e4b-4f09-9ffd-5243c1aea2c3,1,38,C533E409-6CDE-4B91-BEAE-1CEF7E2492FB
44f324eb-55fb-40f3-af5c-0b77b1e7382b,1,26,EF153A2E-F5D2-43F5-929E-20BE56B3A2B5
5269debd-ca85-4313-9220-82c0d2e113df,1,26,39A4817E-0CC1-44E7-9F49-23B2762D5E72
d3539c74-c796-498a-a315-d0ff21e56011,1,78,BF57781F-FF9D-42A1-9656-282B4C71BF2E
7555e5aa-4237-4174-bb9a-fe432d791f20,1,26,ACA3915E-3873-4255-B43E-4EDD5041C65A
0f3ca293-bfcc-413e-80dc-535d13e2b506,1,18,DC766775-295D-4582-BC3F-500C422EC69C
e0f4d333-3f30-4203-b02d-e6c18eb988ac,1,81,622AC0E6-01E7-4D29-971F-609D09A03BA1
47600c4e-bb01-411e-b98c-4877b235fd92,1,26,827B7AB0-8150-478A-A5D3-666C94F662EA
cf43c30f-d1f1-4403-abd2-395e3a8c015d,1,2,14CDCBC4-538D-4242-824C-6CF57D46BC7A
46046a4d-d544-4a91-877f-64d96972b69e,1,70,E4D8EE43-CABB-48EF-BB4B-7AE96EE8D407
e86c577f-2963-4de8-a9a2-c60937052ab4,1,30,2EA08383-E572-4E8E-9C49-8281EE50E589
86c9a7da-ee54-4da9-82b2-48b929e6f978,1,44,A76B0865-6CCC-4F2F-B2AF-844760E18059
5f23e900-c1cc-4dbc-bee5-422f0b341fe3,1,35,85E3E083-3B6E-405A-B1CB-894871A57B48
111dc009-3324-44c7-ac02-201963e4cf26,1,31,3AAAE130-42F6-489E-92FD-CC6477E57AB2
7140b048-6495-4604-8aed-197f2e525bb2,1,83,56E1A7C0-DA85-414D-8702-D2F03DA24208
083d3f3f-6ae1-4702-854e-c8141266cb1e,1,57,A34155A6-74B6-4B72-BE4E-D39DCAF61CC6
d5dd613a-f04e-4495-a72e-b51d54064c67,1,6,DB6DD6F4-9ABB-4D2B-ADA1-E70D53E24867
bce11c9f-f087-4405-8ad0-375f5e593a33,1,30,0AB30189-EB80-46A9-9C5D-EA4857ED2578
8f5c9219-6e78-4dbb-9855-4a0b13dd070b,1,43,AF103603-AE42-425C-9161-F285AF53E597
c905bbc2-fb67-4206-b538-2bdf75c8600a,1,39,FF483D03-F422-4B88-BDCC-FF02F99932F2
71820159-077b-4129-83c6-6507e6fe7534,4,37,A454CCA6-BF13-49F1-A573-09C81551171A
81227e0b-8805-4baa-b2cb-b1039427e543,4,13,C533E409-6CDE-4B91-BEAE-1CEF7E2492FB
a28d7736-b6d7-44ad-9247-620966e917e1,4,52,EF153A2E-F5D2-43F5-929E-20BE56B3A2B5
8dad2e5b-130d-46d5-8fcd-56405d1662a4,4,44,39A4817E-0CC1-44E7-9F49-23B2762D5E72
92c2c752-8573-4fd6-932c-c72de605f92a,4,92,BF57781F-FF9D-42A1-9656-282B4C71BF2E
b5997f6e-a3e3-4ddb-be46-9542524810d2,4,73,ACA3915E-3873-4255-B43E-4EDD5041C65A
6e76d221-c10f-458a-b6e2-72ac7688b623,4,14,DC766775-295D-4582-BC3F-500C422EC69C
e3adfdcc-dd17-4c1d-9a1b-730da81685b6,4,66,622AC0E6-01E7-4D29-971F-609D09A03BA1
0ecddc69-ad8f-4479-a528-2cff40483334,4,9,827B7AB0-8150-478A-A5D3-666C94F662EA
c57516e2-f200-4579-8c1d-863a29bf42f4,4,99,14CDCBC4-538D-4242-824C-6CF57D46BC7A
2c07d79e-434a-482b-a893-23111c01a791,4,49,E4D8EE43-CABB-48EF-BB4B-7AE96EE8D407
9f0df953-7531-4b75-af82-a40688f3685b,4,38,2EA08383-E572-4E8E-9C49-8281EE50E589
7a91f4b0-f3ef-40fd-8d34-72d8372c4845,4,88,A76B0865-6CCC-4F2F-B2AF-844760E18059
f53c17bf-960c-4e6f-8dfb-2b3e268e4238,4,9,85E3E083-3B6E-405A-B1CB-894871A57B48
469d27f0-098d-4f5a-a723-7bb70fac98d7,4,14,3AAAE130-42F6-489E-92FD-CC6477E57AB2
88dd5448-a4e7-446c-a4aa-6b84e21026d7,4,63,56E1A7C0-DA85-414D-8702-D2F03DA24208
a9481ca1-7632-4135-bf58-f39a4d5c588f,4,60,A34155A6-74B6-4B72-BE4E-D39DCAF61CC6
29a9e06c-732d-4106-98a6-cd4e7319fb7d,4,63,DB6DD6F4-9ABB-4D2B-ADA1-E70D53E24867
b4d2382d-9222-4c9b-a245-99089e5640fa,4,6,0AB30189-EB80-46A9-9C5D-EA4857ED2578
a05f472b-fe97-4ba6-a835-41a7dc915d99,4,97,AF103603-AE42-425C-9161-F285AF53E597
606ae6aa-6a85-48e9-9fe0-612bd74d7102,4,7,FF483D03-F422-4B88-BDCC-FF02F99932F2
4eb1388b-60de-4894-a07e-36be261c1b66,2,68,A454CCA6-BF13-49F1-A573-09C81551171A
b3f39337-42e7-4b03-814b-8a0f30a1dd19,2,8,C533E409-6CDE-4B91-BEAE-1CEF7E2492FB
ed630d6c-6ddf-4c48-b5a8-df0d618104fe,2,56,EF153A2E-F5D2-43F5-929E-20BE56B3A2B5
cf6cede4-bf02-4117-b5f7-75678e007cc6,2,33,39A4817E-0CC1-44E7-9F49-23B2762D5E72
951812f0-df81-4d6b-9ecc-3786e37451c2,2,11,BF57781F-FF9D-42A1-9656-282B4C71BF2E
d58ac760-915f-46be-b20d-e3fa8f09a630,2,70,ACA3915E-3873-4255-B43E-4EDD5041C65A
39d52c6a-9451-488c-9d3d-52d07aaf8ee3,2,81,DC766775-295D-4582-BC3F-500C422EC69C
7d30a70a-14c9-42d6-80da-8256be287133,2,99,622AC0E6-01E7-4D29-971F-609D09A03BA1
45ee8d9f-b02b-48f8-b3a9-9da8ddcbab94,2,32,827B7AB0-8150-478A-A5D3-666C94F662EA
507b7b65-7f59-4b7b-9f11-44ca6b571194,2,61,14CDCBC4-538D-4242-824C-6CF57D46BC7A
442bdba4-1499-4108-a28a-7a730e792786,2,70,E4D8EE43-CABB-48EF-BB4B-7AE96EE8D407
20b1dd2d-4b9e-42a9-8668-e15ef8c7c197,2,62,2EA08383-E572-4E8E-9C49-8281EE50E589
c93c8c94-1a0b-4977-a39a-dc83582add79,2,24,A76B0865-6CCC-4F2F-B2AF-844760E18059
248293f7-ecf6-4743-b2b2-591977ac552c,2,99,85E3E083-3B6E-405A-B1CB-894871A57B48
1d9b5503-0b9a-4043-86ed-6ce6e6e0d2f5,2,84,3AAAE130-42F6-489E-92FD-CC6477E57AB2
d01a33ef-787f-4fb1-988e-2b6bbb0dc4b0,2,25,56E1A7C0-DA85-414D-8702-D2F03DA24208
af74c761-9d01-4ffb-ae17-2cdb1d7ca553,2,25,A34155A6-74B6-4B72-BE4E-D39DCAF61CC6
b0d1bb97-7abf-41a7-99e7-e17e8618f983,2,4,DB6DD6F4-9ABB-4D2B-ADA1-E70D53E24867
3928685e-d8e1-4452-befb-2bc9ec7684f8,2,83,0AB30189-EB80-46A9-9C5D-EA4857ED2578
08ab9e7e-f83c-41fe-a138-fc9128fc1bde,2,100,AF103603-AE42-425C-9161-F285AF53E597
ede02561-02d6-4b6b-a6b2-4d29722f5a90,2,45,FF483D03-F422-4B88-BDCC-FF02F99932F2
fc7d991c-30ae-4920-ab6e-a49e4872c24e,3,44,A454CCA6-BF13-49F1-A573-09C81551171A
bf406a02-f0e2-46b1-8175-b3dddefb5ae4,3,47,C533E409-6CDE-4B91-BEAE-1CEF7E2492FB
39a6112e-73b2-4e68-844f-76d6b12b5e3c,3,64,EF153A2E-F5D2-43F5-929E-20BE56B3A2B5
281335e2-db06-4924-9482-51ab34dcbe30,3,67,39A4817E-0CC1-44E7-9F49-23B2762D5E72
5d09df95-2546-4dfd-bbc9-f925fc0029d1,3,67,BF57781F-FF9D-42A1-9656-282B4C71BF2E
934e0ca5-1426-455e-837d-b9d269dc619c,3,9,ACA3915E-3873-4255-B43E-4EDD5041C65A
e8eea3df-bc3a-45dc-b561-3c78c2bf4c00,3,83,DC766775-295D-4582-BC3F-500C422EC69C
dc920912-cd89-49dd-bc12-d542368e1825,3,21,622AC0E6-01E7-4D29-971F-609D09A03BA1
4275c73e-43b5-4219-b94b-4e782cfdf79d,3,36,827B7AB0-8150-478A-A5D3-666C94F662EA
2966daca-0569-40e1-ba8b-1131b839bdf1,3,87,14CDCBC4-538D-4242-824C-6CF57D46BC7A
b5fc5724-12df-48ee-9c06-92faceb36f8e,3,70,E4D8EE43-CABB-48EF-BB4B-7AE96EE8D407
3e429fa8-c3a4-4b34-a30b-808eebce522d,3,88,2EA08383-E572-4E8E-9C49-8281EE50E589
555c69d6-6685-428c-9fd4-af4c3794da5c,3,88,A76B0865-6CCC-4F2F-B2AF-844760E18059
c8e6c454-0866-4212-8561-1141c6acf0a4,3,12,85E3E083-3B6E-405A-B1CB-894871A57B48
22f2de9d-b6b3-42e9-a56f-8cc465cf0568,3,58,3AAAE130-42F6-489E-92FD-CC6477E57AB2
b43544d2-e988-4bd9-9b9a-4abe204e1ee9,3,65,56E1A7C0-DA85-414D-8702-D2F03DA24208
5753e0a0-c6ab-4af1-9628-3cfe87611c81,3,39,A34155A6-74B6-4B72-BE4E-D39DCAF61CC6
34b62ce0-d899-459f-88fe-fdf4ede4fe31,3,87,DB6DD6F4-9ABB-4D2B-ADA1-E70D53E24867
42a57199-991c-40e1-bf1b-2455e9a33a7e,3,46,0AB30189-EB80-46A9-9C5D-EA4857ED2578
949f0033-5de0-4c37-88ab-7418a43ce7be,3,88,AF103603-AE42-425C-9161-F285AF53E597
